area_type,availability,bath,balcony,price,site_location,bhk,new_total_sqft,price_per_sqft
Super built-up  Area,18-Apr,2.0,2.0,48.0,Market yard,2,1225.0,3918.3673469387754
Super built-up  Area,Ready To Move,2.0,2.0,40.14,Market yard,2,1187.0,3381.6343723673126
Built-up  Area,20-Feb,2.0,2.0,192.0,Model colony,4,3210.0,5981.308411214954
Plot  Area,17-May,3.0,2.0,280.0,Model colony,3,4050.0,6913.580246913581
Super built-up  Area,21-Dec,2.0,2.0,21.53,Model colony,1,525.0,4100.952380952381
Plot  Area,Ready To Move,4.0,3.0,700.0,Model colony,4,11890.0,5887.300252312868
Super built-up  Area,Ready To Move,2.0,1.0,68.0,Model colony,2,1372.0,4956.268221574344
Super built-up  Area,Ready To Move,2.0,2.0,50.0,Model colony,2,1000.0,5000.0
Built-up  Area,Ready To Move,2.0,1.0,50.49,Model colony,2,918.0,5500.0
Super built-up  Area,Ready To Move,3.0,2.0,107.0,Model colony,3,1710.0,6257.309941520468
Built-up  Area,Ready To Move,1.0,1.0,12.0,Model colony,1,400.0,3000.0
Super built-up  Area,Ready To Move,2.0,2.0,69.0,Model colony,2,1500.0,4600.0
Super built-up  Area,18-Jun,3.0,3.0,92.0,Model colony,3,1532.0,6005.221932114882
Super built-up  Area,Ready To Move,2.0,2.0,40.0,Model colony,2,890.0,4494.38202247191
Super built-up  Area,Ready To Move,2.0,2.0,55.0,Model colony,2,927.0,5933.117583603021
Super built-up  Area,Ready To Move,2.0,2.0,75.0,Model colony,3,1100.0,6818.181818181818
Super built-up  Area,Ready To Move,3.0,2.0,88.0,Model colony,3,1692.0,5200.945626477542
Super built-up  Area,Ready To Move,2.0,1.0,67.0,Model colony,2,1238.0,5411.954765751211
Built-up  Area,Ready To Move,1.0,0.0,26.0,Model colony,1,527.0,4933.586337760911
Built-up  Area,Ready To Move,2.0,2.0,55.0,Model colony,2,1069.0,5144.9953227315245
Super built-up  Area,Ready To Move,2.0,2.0,73.0,Model colony,2,1365.0,5347.985347985348
Built-up  Area,Ready To Move,2.0,2.0,27.0,Model colony,2,600.0,4500.0
Plot  Area,Ready To Move,1.0,1.0,41.0,Model colony,1,1260.0,3253.968253968254
Super built-up  Area,Ready To Move,16.0,2.0,550.0,Model colony,16,10000.0,5500.0
Super built-up  Area,Ready To Move,4.0,2.0,125.0,Model colony,4,2145.0,5827.505827505827
Plot  Area,18-May,3.0,1.0,165.0,Model colony,3,2400.0,6875.0
Built-up  Area,Ready To Move,1.0,1.0,27.0,Model colony,1,620.0,4354.8387096774195
Super built-up  Area,18-Dec,3.0,2.0,101.0,Model colony,3,1830.0,5519.12568306011
Super built-up  Area,Ready To Move,1.0,1.0,42.0,Model colony,1,662.0,6344.410876132931
Super built-up  Area,Ready To Move,5.0,0.0,225.0,Model colony,4,3360.0,6696.428571428572
Super built-up  Area,20-Nov,3.0,2.0,122.0,Model colony,3,1778.0,6861.6422947131605
Plot  Area,18-Feb,3.0,2.0,72.0,Model colony,3,1200.0,6000.0
Super built-up  Area,Ready To Move,2.0,1.0,87.0,Model colony,2,1275.0,6823.529411764706
Plot  Area,Ready To Move,4.0,0.0,90.0,Model colony,4,1200.0,7500.0
Super built-up  Area,Ready To Move,2.0,1.0,59.0,Model colony,2,1220.0,4836.065573770492
Plot  Area,Ready To Move,6.0,2.0,120.0,Model colony,8,3500.0,3428.5714285714284
Super built-up  Area,Ready To Move,2.0,3.0,50.0,Model colony,2,900.0,5555.555555555556
Super built-up  Area,Ready To Move,2.0,2.0,75.0,Model colony,3,1080.0,6944.444444444444
Super built-up  Area,18-Dec,2.0,1.0,69.0,Model colony,2,1268.0,5441.640378548896
Plot  Area,18-May,3.0,0.0,83.0,Model colony,3,1500.0,5533.333333333333
Super built-up  Area,18-Mar,2.0,2.0,152.0,Model colony,3,2195.0,6924.829157175399
Built-up  Area,Ready To Move,2.0,2.0,55.0,Model colony,2,1100.0,5000.0
Super built-up  Area,Ready To Move,2.0,1.0,55.0,Model colony,2,1141.0,4820.333041191937
Super built-up  Area,Ready To Move,2.0,2.0,74.0,Model colony,2,1351.0,5477.424130273871
Built-up  Area,Ready To Move,2.0,1.0,67.0,Model colony,3,1300.0,5153.846153846154
Super built-up  Area,Ready To Move,2.0,2.0,61.0,Model colony,2,1152.0,5295.138888888889
Super built-up  Area,Ready To Move,1.0,1.0,39.5,Model colony,2,850.0,4647.058823529412
Super built-up  Area,19-May,4.0,1.0,123.0,Model colony,3,1996.0,6162.324649298597
Super built-up  Area,Ready To Move,2.0,2.0,100.0,Model colony,3,1660.0,6024.096385542169
Plot  Area,Ready To Move,2.0,0.0,75.0,Model colony,2,1250.0,6000.0
Super built-up  Area,18-Dec,2.0,1.0,84.03,Model colony,2,1216.0,6910.361842105263
Super built-up  Area,Ready To Move,4.0,2.0,314.0,Model colony,4,3700.0,8486.486486486487
Super built-up  Area,18-Apr,3.0,1.0,103.0,Model colony,3,1929.0,5339.554173146708
Super built-up  Area,17-Oct,3.0,3.0,98.0,Model colony,3,1763.25,5557.918616191691
Super built-up  Area,22-May,4.0,2.0,245.0,Model colony,4,2249.81,10889.808472715475
Super built-up  Area,18-Jul,2.0,1.0,75.97,Model colony,2,1447.0,5250.172771250864
Super built-up  Area,Ready To Move,3.0,2.0,135.0,Model colony,3,2357.0,5727.619855748833
Built-up  Area,Ready To Move,2.0,1.0,120.0,Model colony,2,1280.0,9375.0
Super built-up  Area,19-Sep,3.0,1.0,88.6,Model colony,3,1450.0,6110.3448275862065
Super built-up  Area,Ready To Move,3.0,2.0,78.0,Model colony,3,1505.0,5182.724252491695
Plot  Area,Ready To Move,1.0,0.0,20.0,Model colony,1,600.0,3333.3333333333335
Super built-up  Area,Ready To Move,4.0,3.0,135.0,Model colony,4,2422.0,5573.905862923204
Super built-up  Area,Ready To Move,2.0,3.0,81.0,Model colony,3,1520.0,5328.9473684210525
Built-up  Area,Ready To Move,3.0,1.0,255.0,Model colony,5,3300.0,7727.272727272727
Super built-up  Area,Ready To Move,5.0,2.0,75.0,Model colony,6,2400.0,3125.0
Super built-up  Area,Ready To Move,3.0,3.0,77.99,Model colony,3,1300.0,5999.230769230769
Super built-up  Area,18-Jan,2.0,1.0,56.0,Model colony,2,1170.0,4786.324786324786
Built-up  Area,Ready To Move,1.0,0.0,39.82,Model colony,1,1200.0,3318.3333333333335
Plot  Area,Ready To Move,6.0,2.0,560.0,Model colony,6,7000.0,8000.0
Super built-up  Area,Ready To Move,1.0,1.0,13.0,Model colony,1,500.0,2600.0
Super built-up  Area,Ready To Move,3.0,2.0,185.0,Model colony,3,1760.0,10511.363636363636
Super built-up  Area,Ready To Move,2.0,1.0,80.0,Model colony,2,823.0,9720.534629404618
Super built-up  Area,Ready To Move,2.0,2.0,85.5,Model colony,2,1260.0,6785.714285714285
Super built-up  Area,Ready To Move,3.0,1.0,110.0,Model colony,3,1891.0,5817.028027498678
Super built-up  Area,20-Dec,1.0,1.0,40.0,Model colony,1,595.0,6722.689075630252
Super built-up  Area,Ready To Move,3.0,3.0,65.0,Model colony,3,1221.0,5323.505323505324
Built-up  Area,Ready To Move,2.0,2.0,65.0,Model colony,2,1400.0,4642.857142857143
Super built-up  Area,Ready To Move,3.0,3.0,95.0,Model colony,3,1719.0,5526.468877254218
Super built-up  Area,Ready To Move,3.0,3.0,135.0,Model colony,3,1855.0,7277.628032345014
Super built-up  Area,Ready To Move,2.0,3.0,78.0,Model colony,3,1500.0,5200.0
Super built-up  Area,Ready To Move,4.0,2.0,235.0,Mukund Nagar,3,2795.0,8407.871198568873
Super built-up  Area,Ready To Move,3.0,2.0,185.0,Mukund Nagar,3,2420.0,7644.628099173554
Super built-up  Area,Ready To Move,2.0,1.0,76.0,Mukund Nagar,2,1250.0,6080.0
Super built-up  Area,Ready To Move,1.0,0.0,25.0,Mukund Nagar,1,469.0,5330.490405117271
Super built-up  Area,20-Dec,4.0,0.0,130.0,Mukund Nagar,4,1950.0,6666.666666666667
Super built-up  Area,Ready To Move,2.0,1.0,57.5,Mukund Nagar,3,1082.0,5314.232902033272
Super built-up  Area,Ready To Move,2.0,1.0,65.0,Mukund Nagar,2,1105.0,5882.35294117647
Built-up  Area,Ready To Move,3.0,0.0,110.0,Mukund Nagar,3,1650.0,6666.666666666667
Built-up  Area,Ready To Move,2.0,2.0,68.0,Mukund Nagar,3,1285.0,5291.828793774319
Built-up  Area,Ready To Move,4.0,3.0,290.0,Mukund Nagar,4,5000.0,5800.0
Built-up  Area,Ready To Move,3.0,3.0,100.0,Mukund Nagar,3,1645.0,6079.0273556231
Built-up  Area,Ready To Move,3.0,2.0,160.0,Mukund Nagar,3,2160.0,7407.407407407408
Super built-up  Area,18-Oct,2.0,3.0,74.72,Mukund Nagar,3,1465.0,5100.341296928327
Super built-up  Area,Ready To Move,2.0,1.0,88.0,Mukund Nagar,3,1400.0,6285.714285714285
Super built-up  Area,18-Apr,2.0,1.0,75.0,Mukund Nagar,2,1118.0,6708.4078711985685
Super built-up  Area,Ready To Move,2.0,2.0,80.0,Mukund Nagar,2,1300.0,6153.846153846154
Super built-up  Area,Ready To Move,3.0,2.0,150.0,Mukund Nagar,3,1800.0,8333.333333333334
Super built-up  Area,17-Dec,2.0,1.0,99.0,Mukund Nagar,2,1392.0,7112.068965517241
Super built-up  Area,Ready To Move,2.0,2.0,55.0,Mukund Nagar,2,918.0,5991.285403050109
Built-up  Area,Ready To Move,4.0,2.0,290.0,Mukund Nagar,4,3530.0,8215.297450424929
Plot  Area,Ready To Move,4.0,3.0,110.0,Mukund Nagar,4,1200.0,9166.666666666666
Built-up  Area,19-Dec,1.0,1.0,39.0,Mukund Nagar,1,813.0,4797.047970479704
Super built-up  Area,Ready To Move,3.0,2.0,77.99,Mukund Nagar,3,1300.0,5999.230769230769
Super built-up  Area,22-Jun,2.0,2.0,110.0,Mukund Nagar,2,1430.0,7692.307692307692
Super built-up  Area,21-Dec,2.0,1.0,40.0,Mukund Nagar,2,700.0,5714.285714285715
Super built-up  Area,Ready To Move,1.0,1.0,43.0,Mukund Nagar,1,600.0,7166.666666666667
Super built-up  Area,Ready To Move,2.0,1.0,83.0,Mukund Nagar,2,1210.0,6859.504132231405
Built-up  Area,Ready To Move,3.0,1.0,78.65,Mukund Nagar,3,1430.0,5500.000000000001
Built-up  Area,Ready To Move,3.0,2.0,125.0,Mukund Nagar,3,1783.0,7010.656197420079
Super built-up  Area,Ready To Move,3.0,2.0,130.0,Mukund Nagar,3,1826.0,7119.386637458927
Super built-up  Area,Ready To Move,2.0,1.0,90.0,Mukund Nagar,3,1255.0,7171.314741035857
Super built-up  Area,Ready To Move,2.0,2.0,87.0,Mukund Nagar,3,1450.0,6000.0
Super built-up  Area,Ready To Move,1.0,0.0,16.9,Mukund Nagar,1,360.0,4694.444444444443
Super built-up  Area,18-May,1.0,0.0,28.57,Mukund Nagar,1,698.5,4090.1932712956336
Super built-up  Area,Ready To Move,2.0,2.0,341.0,Mukund Nagar,4,4062.5,8393.846153846154
Super built-up  Area,Ready To Move,4.0,3.0,175.0,Mukund Nagar,4,2600.0,6730.7692307692305
Super built-up  Area,Ready To Move,4.0,1.0,135.0,Mukund Nagar,4,2000.0,6750.0
Super built-up  Area,18-Dec,4.0,3.0,201.0,Mukund Nagar,4,2690.0,7472.118959107806
Super built-up  Area,Ready To Move,2.0,3.0,78.5,Mukund Nagar,2,1295.0,6061.776061776061
Built-up  Area,Ready To Move,4.0,2.0,170.0,Mukund Nagar,4,2502.0,6794.564348521183
Carpet  Area,20-Dec,1.0,1.0,28.0,Mukund Nagar,1,381.0,7349.081364829396
Super built-up  Area,Ready To Move,2.0,2.0,72.0,Mukund Nagar,2,1100.0,6545.454545454545
Super built-up  Area,Ready To Move,3.0,3.0,150.0,Mukund Nagar,3,1900.0,7894.736842105263
Super built-up  Area,Ready To Move,4.0,1.0,110.0,Mukund Nagar,3,1862.0,5907.626208378088
Built-up  Area,Ready To Move,4.0,2.0,345.0,Mukund Nagar,4,4041.0,8537.490720118782
Super built-up  Area,19-Dec,2.0,1.0,77.0,Mukund Nagar,2,1180.0,6525.423728813559
Super built-up  Area,20-Dec,2.0,1.0,71.73,Mukund Nagar,3,1423.0,5040.758959943781
Super built-up  Area,18-Apr,5.0,2.0,180.0,Mukund Nagar,4,2524.0,7131.537242472266
Super built-up  Area,18-Apr,3.0,3.0,108.0,Mukund Nagar,3,1770.0,6101.6949152542375
Plot  Area,Ready To Move,4.0,2.0,300.0,Mukund Nagar,4,3600.0,8333.333333333334
Super built-up  Area,Ready To Move,2.0,2.0,89.5,Mukund Nagar,2,1350.0,6629.62962962963
Super built-up  Area,Ready To Move,2.0,2.0,78.0,Mukund Nagar,3,1450.0,5379.310344827586
Super built-up  Area,Ready To Move,3.0,2.0,110.0,Mukund Nagar,3,2137.0,5147.402901263454
Built-up  Area,Ready To Move,3.0,2.0,59.0,Mukund Nagar,3,1021.0,5778.648383937317
Super built-up  Area,Ready To Move,2.0,1.0,79.0,Mukund Nagar,2,1205.0,6556.016597510374
Super built-up  Area,21-Jul,3.0,1.0,110.0,Mukund Nagar,3,1837.0,5988.023952095808
Super built-up  Area,Ready To Move,2.0,1.0,102.0,Mukund Nagar,3,1430.0,7132.867132867133
Plot  Area,Ready To Move,2.0,0.0,140.0,Mundhawa,3,1350.0,10370.37037037037
Super built-up  Area,Ready To Move,2.0,1.0,95.0,Mundhawa,3,1400.0,6785.714285714285
Super built-up  Area,Ready To Move,9.0,3.0,210.0,Mundhawa,9,5000.0,4200.0
Super built-up  Area,Ready To Move,4.0,3.0,250.0,Mundhawa,4,3800.0,6578.9473684210525
Super built-up  Area,Ready To Move,7.0,2.0,140.0,Mundhawa,7,4100.0,3414.6341463414633
Super built-up  Area,18-Feb,2.0,2.0,78.0,Mundhawa,2,1121.0,6958.07314897413
Super built-up  Area,Ready To Move,3.0,3.0,100.0,Mundhawa,3,1850.0,5405.405405405405
Built-up  Area,18-May,4.0,2.0,105.0,Mundhawa,4,1200.0,8750.0
Plot  Area,Ready To Move,5.0,2.0,110.0,Mundhawa,4,1200.0,9166.666666666666
Super built-up  Area,Ready To Move,3.0,2.0,100.0,Mundhawa,3,1645.0,6079.0273556231
Super built-up  Area,Ready To Move,2.0,2.0,135.0,Mundhawa,3,1450.0,9310.344827586207
Built-up  Area,Ready To Move,2.0,2.0,80.0,Mundhawa,2,1150.0,6956.521739130435
Super built-up  Area,Ready To Move,2.0,1.0,84.0,Mundhawa,2,1195.0,7029.28870292887
Super built-up  Area,Ready To Move,2.0,2.0,103.0,Mundhawa,2,1418.0,7263.7517630465445
Super built-up  Area,21-Jan,2.0,1.0,82.0,Mundhawa,2,1246.0,6581.0593900481545
Super built-up  Area,Ready To Move,2.0,1.0,68.0,Mundhawa,2,1098.0,6193.078324225865
Super built-up  Area,19-Dec,3.0,1.0,120.0,Mundhawa,3,1798.0,6674.082313681869
Super built-up  Area,21-Dec,3.0,2.0,91.84,Mundhawa,3,1563.0,5875.879718490083
Built-up  Area,Ready To Move,2.0,1.0,200.0,Mundhawa,2,1900.0,10526.315789473685
Super built-up  Area,Ready To Move,2.0,1.0,98.0,Mundhawa,2,1392.0,7040.229885057472
Super built-up  Area,Ready To Move,3.0,1.0,190.0,Mundhawa,3,1910.0,9947.643979057591
Super built-up  Area,18-May,3.0,2.0,151.0,Mundhawa,3,2170.0,6958.52534562212
Super built-up  Area,Ready To Move,3.0,2.0,126.0,Mundhawa,3,2106.0,5982.9059829059825
Plot  Area,Ready To Move,4.0,3.0,240.0,Mundhawa,4,3884.0,6179.196704428425
Super built-up  Area,Ready To Move,2.0,1.0,78.0,Mundhawa,2,1000.0,7800.0
Plot  Area,Ready To Move,2.0,1.0,130.0,Mundhawa,4,1200.0,10833.333333333334
Super built-up  Area,Ready To Move,2.0,2.0,58.0,Mundhawa,2,946.0,6131.0782241014795
Built-up  Area,18-Mar,2.0,2.0,69.0,Mundhawa,2,1150.0,6000.0
Super built-up  Area,18-Jan,2.0,1.0,110.0,Mundhawa,2,1138.0,9666.080843585238
Built-up  Area,21-Dec,1.0,1.0,34.3,Mundhawa,1,693.0,4949.494949494949
Super built-up  Area,18-Mar,2.0,2.0,90.0,Mundhawa,3,1520.0,5921.0526315789475
Super built-up  Area,Ready To Move,2.0,2.0,135.0,Mundhawa,3,1675.0,8059.701492537313
Super built-up  Area,Ready To Move,2.0,3.0,88.0,Mundhawa,2,1220.0,7213.11475409836
Super built-up  Area,Ready To Move,1.0,0.0,40.7,Mundhawa,1,925.0,4400.000000000001
Super built-up  Area,Ready To Move,2.0,2.0,90.0,Mundhawa,2,1250.0,7200.0
Super built-up  Area,18-Jul,2.0,2.0,79.0,Mundhawa,2,1175.0,6723.404255319149
Super built-up  Area,20-Nov,3.0,2.0,111.0,Mundhawa,3,1700.0,6529.411764705882
Built-up  Area,Ready To Move,1.0,0.0,16.0,Mundhawa,1,650.0,2461.5384615384614
Super built-up  Area,Ready To Move,3.0,2.0,260.0,Mundhawa,3,2750.0,9454.545454545454
Super built-up  Area,Ready To Move,1.0,1.0,70.0,Mundhawa,1,780.0,8974.358974358975
Super built-up  Area,Ready To Move,2.0,1.0,100.0,Mundhawa,2,1320.0,7575.757575757576
Super built-up  Area,Ready To Move,1.0,2.0,32.0,Mundhawa,1,800.0,4000.0
Super built-up  Area,Ready To Move,2.0,2.0,80.0,Mundhawa,3,1435.0,5574.912891986062
Built-up  Area,Ready To Move,3.0,0.0,175.0,Mundhawa,6,1850.0,9459.45945945946
Plot  Area,Ready To Move,4.0,3.0,140.0,Mundhawa,4,1200.0,11666.666666666666
Super built-up  Area,Ready To Move,3.0,2.0,115.0,Mundhawa,3,1760.0,6534.090909090909
Super built-up  Area,Ready To Move,2.0,2.0,80.43,Mundhawa,2,1310.0,6139.69465648855
Built-up  Area,18-Feb,9.0,2.0,200.0,Mundhawa,9,4600.0,4347.826086956522
Built-up  Area,Ready To Move,3.0,2.0,110.0,Mundhawa,3,1800.0,6111.111111111111
Super built-up  Area,Ready To Move,2.0,2.0,86.69,Mundhawa,3,1445.0,5999.307958477509
Super built-up  Area,18-May,1.0,1.0,39.0,Mundhawa,1,645.0,6046.511627906977
Super built-up  Area,19-Jul,2.0,2.0,107.0,Mundhawa,2,1328.0,8057.22891566265
Super built-up  Area,20-Jan,3.0,2.0,103.0,Mundhawa,3,1823.0,5650.027427317608
Built-up  Area,Ready To Move,5.0,2.0,170.0,Mundhawa,4,2439.0,6970.069700697007
Super built-up  Area,Ready To Move,1.0,2.0,43.82,Mundhawa,1,770.0,5690.909090909091
Plot  Area,Ready To Move,2.0,1.0,50.0,Mundhawa,1,400.0,12500.0
Super built-up  Area,Ready To Move,2.0,1.0,80.0,Mundhawa,2,1020.0,7843.137254901961
Super built-up  Area,Ready To Move,3.0,3.0,125.0,Mundhawa,3,2100.0,5952.380952380952
Super built-up  Area,18-May,2.0,1.0,67.0,Mundhawa,2,1027.0,6523.855890944498
Plot  Area,18-May,4.0,2.0,125.0,Mundhawa,4,1200.0,10416.666666666666
Plot  Area,Ready To Move,2.0,0.0,66.0,Mundhawa,3,1200.0,5500.0
Super built-up  Area,Ready To Move,2.0,2.0,95.25,Mundhawa,3,1270.0,7500.0
Super built-up  Area,18-Apr,1.0,1.0,18.5,Mundhawa,1,610.0,3032.7868852459014
Built-up  Area,Ready To Move,3.0,3.0,134.0,Mundhawa,3,1805.0,7423.822714681441
Super built-up  Area,Ready To Move,2.0,2.0,45.0,Nagar Road,2,840.0,5357.142857142857
Built-up  Area,Ready To Move,2.0,2.0,55.0,Nagar Road,2,1060.0,5188.679245283019
Super built-up  Area,Ready To Move,2.0,1.0,29.0,Nagar Road,2,883.0,3284.2582106455266
Super built-up  Area,Ready To Move,2.0,3.0,62.5,Nagar Road,2,1200.0,5208.333333333333
Super built-up  Area,Ready To Move,3.0,2.0,95.0,Nagar Road,3,1705.0,5571.847507331378
Super built-up  Area,Ready To Move,2.0,2.0,44.0,Nagar Road,2,1027.0,4284.323271665044
Super built-up  Area,20-Dec,3.0,1.0,64.0,Nagar Road,3,1300.0,4923.076923076923
Carpet  Area,18-Dec,2.0,1.0,69.09,Nagar Road,2,804.1,8592.214898644446
Built-up  Area,Ready To Move,4.0,3.0,200.0,Nagar Road,4,3198.0,6253.908692933083
Built-up  Area,Ready To Move,2.0,1.0,75.0,Nagar Road,3,1360.0,5514.705882352941
Super built-up  Area,Ready To Move,2.0,2.0,75.0,Nagar Road,2,1200.0,6250.0
Super built-up  Area,Ready To Move,2.0,1.0,49.5,Nagar Road,2,1200.0,4125.0
Super built-up  Area,Ready To Move,2.0,1.0,60.0,Nagar Road,2,1256.0,4777.070063694267
Super built-up  Area,Ready To Move,2.0,1.0,60.0,Nagar Road,2,1100.0,5454.545454545455
Super built-up  Area,Ready To Move,2.0,2.0,59.5,Nagar Road,2,1220.0,4877.049180327869
Built-up  Area,Ready To Move,2.0,0.0,40.0,Nagar Road,2,1215.0,3292.1810699588477
Super built-up  Area,Ready To Move,2.0,1.0,45.2,Nagar Road,2,1130.0,4000.0
Plot  Area,Ready To Move,1.0,0.0,41.0,Nagar Road,1,1260.0,3253.968253968254
Built-up  Area,Ready To Move,1.0,1.0,75.0,Nagar Road,1,890.0,8426.966292134832
Super built-up  Area,18-Nov,2.0,1.0,62.17,Nagar Road,2,1326.0,4688.536953242836
Super built-up  Area,18-Apr,2.0,1.0,33.66,Nagar Road,2,1086.0,3099.4475138121543
Super built-up  Area,Ready To Move,2.0,2.0,62.0,Nagar Road,2,1339.0,4630.321135175504
Super built-up  Area,Ready To Move,2.0,2.0,80.0,Nagar Road,2,1139.0,7023.705004389815
Built-up  Area,Ready To Move,2.0,1.0,55.0,Nagar Road,2,1080.0,5092.592592592592
Super built-up  Area,Ready To Move,3.0,2.0,139.0,Nagar Road,3,1801.0,7717.9344808439755
Super built-up  Area,Ready To Move,2.0,2.0,41.88,Nagar Road,2,1111.0,3769.57695769577
Plot  Area,Ready To Move,3.0,1.0,300.0,Nagar Road,3,3876.0,7739.938080495356
Super built-up  Area,18-May,2.0,2.0,51.0,Nagar Road,2,1150.0,4434.782608695652
Super built-up  Area,Ready To Move,2.0,1.0,78.0,Nagar Road,3,1400.0,5571.428571428572
Super built-up  Area,Ready To Move,2.0,2.0,52.0,Nagar Road,2,1076.0,4832.71375464684
Built-up  Area,18-Jun,4.0,3.0,400.0,Nagar Road,4,4827.0,8286.720530350114
Super built-up  Area,Ready To Move,2.0,2.0,90.0,Nagar Road,2,1215.0,7407.407407407408
Super built-up  Area,18-Jun,2.0,1.0,40.0,Nagar Road,2,1015.0,3940.886699507389
Super built-up  Area,Ready To Move,2.0,1.0,37.0,Nagar Road,2,845.0,4378.698224852071
Super built-up  Area,Ready To Move,2.0,1.0,84.0,Nagar Road,2,1216.0,6907.894736842105
Super built-up  Area,17-Jul,2.0,1.0,81.0,Nagar Road,2,1358.0,5964.653902798233
Plot  Area,Ready To Move,3.0,1.0,85.0,Nagar Road,3,1350.0,6296.2962962962965
Super built-up  Area,Ready To Move,3.0,1.0,120.0,Nagar Road,3,1856.0,6465.517241379311
Built-up  Area,Ready To Move,2.0,1.0,31.0,Nagar Road,2,787.0,3939.0088945362136
Super built-up  Area,Ready To Move,2.0,2.0,58.0,Nagar Road,2,1110.0,5225.225225225226
Super built-up  Area,18-Dec,2.0,1.0,75.0,Nagar Road,2,1216.0,6167.763157894737
Built-up  Area,Ready To Move,2.0,2.0,43.5,Nagar Road,2,1100.0,3954.5454545454545
Super built-up  Area,Ready To Move,2.0,2.0,53.49,Nagar Road,2,1227.0,4359.413202933985
Built-up  Area,Ready To Move,3.0,2.0,169.0,Nagar Road,3,2556.0,6611.89358372457
Built-up  Area,Ready To Move,2.0,1.0,40.0,Nagar Road,2,800.0,5000.0
Super built-up  Area,Ready To Move,2.0,2.0,110.0,Nagar Road,3,1850.0,5945.945945945946
Super built-up  Area,Ready To Move,2.0,1.0,55.0,Nagar Road,2,1060.0,5188.679245283019
Super built-up  Area,21-Dec,2.0,1.0,70.93,Nagar Road,2,1140.0,6221.9298245614045
Super built-up  Area,Ready To Move,2.0,1.0,29.47,Nagar Road,2,921.0,3199.782844733985
Super built-up  Area,Ready To Move,3.0,3.0,125.0,Nagar Road,3,1900.0,6578.9473684210525
Plot  Area,Ready To Move,4.0,2.0,235.0,Nagar Road,3,3000.0,7833.333333333333
Super built-up  Area,18-Apr,2.0,1.0,67.0,Nagar Road,2,1355.0,4944.649446494465
Super built-up  Area,Ready To Move,2.0,2.0,52.0,Nagar Road,2,1067.0,4873.477038425492
Super built-up  Area,Ready To Move,2.0,1.0,32.0,Nagar Road,2,855.0,3742.690058479532
Super built-up  Area,Ready To Move,2.0,1.0,51.2,Nagar Road,2,1140.0,4491.228070175439
Super built-up  Area,Ready To Move,1.0,1.0,39.9,Nagar Road,2,770.0,5181.818181818182
Super built-up  Area,Ready To Move,1.0,2.0,19.87,Nagar Road,1,650.0,3056.923076923077
Super built-up  Area,Ready To Move,2.0,2.0,36.0,Nagar Road,2,725.0,4965.517241379311
Built-up  Area,Ready To Move,1.0,0.0,34.0,Nagar Road,1,510.0,6666.666666666667
Super built-up  Area,Ready To Move,2.0,2.0,56.0,Nagar Road,2,965.0,5803.108808290155
Built-up  Area,Ready To Move,2.0,1.0,45.0,Nagar Road,2,980.0,4591.836734693878
Super built-up  Area,Ready To Move,2.0,2.0,46.0,Nagar Road,2,1243.0,3700.7240547063557
Super built-up  Area,Ready To Move,2.0,1.0,55.0,Nagar Road,2,1040.0,5288.461538461538
Super built-up  Area,18-Apr,2.0,3.0,42.25,Nagar Road,2,1190.0,3550.4201680672268
Super built-up  Area,Ready To Move,2.0,1.0,42.81,Nagar Road,2,1223.0,3500.408830744072
Plot  Area,Ready To Move,2.0,0.0,68.0,Nagar Road,2,1230.0,5528.455284552845
Super built-up  Area,Ready To Move,2.0,3.0,110.0,Nagar Road,3,1485.0,7407.407407407408
Built-up  Area,Ready To Move,3.0,3.0,90.0,Nagar Road,3,1310.0,6870.229007633588
Super built-up  Area,Ready To Move,2.0,2.0,43.5,Nagar Road,2,1088.0,3998.1617647058824
Super built-up  Area,Ready To Move,3.0,2.0,85.0,Nagar Road,3,1710.0,4970.7602339181285
Built-up  Area,Ready To Move,2.0,3.0,55.0,Nagar Road,2,1066.0,5159.474671669794
Super built-up  Area,Ready To Move,2.0,1.0,41.68,Nagar Road,2,1175.0,3547.2340425531916
Built-up  Area,Ready To Move,2.0,0.0,58.0,Nagar Road,2,1260.0,4603.174603174603
Super built-up  Area,Ready To Move,2.0,3.0,42.0,Nagar Road,2,1000.0,4200.0
Super built-up  Area,17-Jun,3.0,2.0,92.59,Nagar Road,3,1644.0,5631.995133819952
Super built-up  Area,18-Feb,5.0,3.0,253.0,Nagar Road,4,3410.0,7419.354838709677
Built-up  Area,Ready To Move,2.0,1.0,78.0,Nagar Road,3,1100.0,7090.909090909091
Plot  Area,Ready To Move,7.0,2.0,107.0,Nagar Road,6,2400.0,4458.333333333333
Built-up  Area,Ready To Move,3.0,2.0,125.0,Nagar Road,3,1698.0,7361.601884570083
Built-up  Area,Ready To Move,2.0,1.0,67.0,Nagar Road,2,1080.0,6203.7037037037035
Super built-up  Area,Ready To Move,2.0,1.0,36.44,Nagar Road,2,1041.0,3500.480307396734
Super built-up  Area,18-Jun,3.0,1.0,146.0,Nagar Road,3,1724.0,8468.677494199535
Super built-up  Area,18-Mar,2.0,2.0,59.0,Nagar Road,2,1185.0,4978.9029535864975
Super built-up  Area,Ready To Move,2.0,2.0,110.0,Nagar Road,3,1353.0,8130.081300813008
Super built-up  Area,Ready To Move,3.0,3.0,91.86,Nagar Road,3,1830.0,5019.672131147541
